Account,Date,DOW,Sales
ACCT_1,2017/1/1,Sun,244
ACCT_1,2017/1/2,Mon,312
ACCT_1,2017/1/3,Tue,449
ACCT_1,2017/1/4,Wed,440
ACCT_1,2017/1/5,Thu,449
ACCT_1,2017/1/6,Fri,415
ACCT_1,2017/1/7,Sat,287
ACCT_1,2017/1/8,Sun,427
ACCT_1,2017/1/9,Mon,564
ACCT_1,2017/1/10,Tue,550
ACCT_1,2017/1/11,Wed,548
ACCT_1,2017/1/12,Thu,665
ACCT_1,2017/1/13,Fri,721
ACCT_1,2017/1/14,Sat,498
ACCT_1,2017/1/15,Sun,602
ACCT_1,2017/1/16,Mon,832
ACCT_1,2017/1/17,Tue,805
ACCT_1,2017/1/18,Wed,710
ACCT_1,2017/1/19,Thu,707
ACCT_1,2017/1/20,Fri,591
ACCT_1,2017/1/21,Sat,477
ACCT_1,2017/1/22,Sun,584
ACCT_1,2017/1/23,Mon,694
ACCT_1,2017/1/24,Tue,666
ACCT_1,2017/1/25,Wed,644
ACCT_1,2017/1/26,Thu,608
ACCT_1,2017/1/27,Fri,482
ACCT_1,2017/1/28,Sat,332
ACCT_1,2017/1/29,Sun,306
ACCT_1,2017/1/30,Mon,447
ACCT_1,2017/1/31,Tue,625
ACCT_1,2017/2/1,Wed,678
ACCT_1,2017/2/2,Thu,747
ACCT_1,2017/2/3,Fri,793
ACCT_1,2017/2/4,Sat,554
ACCT_1,2017/2/5,Sun,622
ACCT_1,2017/2/6,Mon,970
ACCT_1,2017/2/7,Tue,886
ACCT_1,2017/2/8,Wed,971
ACCT_1,2017/2/9,Thu,980
ACCT_1,2017/2/10,Fri,824
ACCT_1,2017/2/11,Sat,513
ACCT_1,2017/2/12,Sun,711
ACCT_1,2017/2/13,Mon,955
ACCT_1,2017/2/14,Tue,854
ACCT_1,2017/2/15,Wed,824
ACCT_1,2017/2/16,Thu,874
ACCT_1,2017/2/17,Fri,782
ACCT_1,2017/2/18,Sat,549
ACCT_1,2017/2/19,Sun,729
ACCT_1,2017/2/20,Mon,922
ACCT_1,2017/2/21,Tue,960
ACCT_1,2017/2/22,Wed,871
ACCT_1,2017/2/23,Thu,860
ACCT_1,2017/2/24,Fri,799
ACCT_1,2017/2/25,Sat,605
ACCT_1,2017/2/26,Sun,709
ACCT_1,2017/2/27,Mon,861
ACCT_1,2017/2/28,Tue,877
ACCT_1,2017/3/1,Wed,995
ACCT_1,2017/3/2,Thu,877
ACCT_1,2017/3/3,Fri,871
ACCT_1,2017/3/4,Sat,681
ACCT_1,2017/3/5,Sun,804
ACCT_1,2017/3/6,Mon,989
ACCT_1,2017/3/7,Tue,1015
ACCT_1,2017/3/8,Wed,915
ACCT_1,2017/3/9,Thu,894
ACCT_1,2017/3/10,Fri,801
ACCT_1,2017/3/11,Sat,675
ACCT_1,2017/3/12,Sun,703
ACCT_1,2017/3/13,Mon,939
ACCT_1,2017/3/14,Tue,880
ACCT_1,2017/3/15,Wed,935
ACCT_1,2017/3/16,Thu,812
ACCT_1,2017/3/17,Fri,823
ACCT_1,2017/3/18,Sat,493
ACCT_1,2017/3/19,Sun,648
ACCT_1,2017/3/20,Mon,798
ACCT_1,2017/3/21,Tue,833
ACCT_1,2017/3/22,Wed,734
ACCT_1,2017/3/23,Thu,814
ACCT_1,2017/3/24,Fri,782
ACCT_1,2017/3/25,Sat,550
ACCT_1,2017/3/26,Sun,637
ACCT_1,2017/3/27,Mon,921
ACCT_1,2017/3/28,Tue,887
ACCT_1,2017/3/29,Wed,847
ACCT_1,2017/3/30,Thu,737
ACCT_1,2017/3/31,Fri,735
ACCT_1,2017/4/1,Sat,544
ACCT_1,2017/4/2,Sun,744
ACCT_1,2017/4/3,Mon,889
ACCT_1,2017/4/4,Tue,925
ACCT_1,2017/4/5,Wed,855
ACCT_1,2017/4/6,Thu,905
ACCT_1,2017/4/7,Fri,745
ACCT_1,2017/4/8,Sat,642
ACCT_1,2017/4/9,Sun,689
ACCT_1,2017/4/10,Mon,902
ACCT_1,2017/4/11,Tue,789
ACCT_1,2017/4/12,Wed,867
ACCT_1,2017/4/13,Thu,755
ACCT_1,2017/4/14,Fri,517
ACCT_1,2017/4/15,Sat,484
ACCT_1,2017/4/16,Sun,553
ACCT_1,2017/4/17,Mon,813
ACCT_1,2017/4/18,Tue,834
ACCT_1,2017/4/19,Wed,755
ACCT_1,2017/4/20,Thu,816
ACCT_1,2017/4/21,Fri,662
ACCT_1,2017/4/22,Sat,559
ACCT_1,2017/4/23,Sun,601
ACCT_1,2017/4/24,Mon,829
ACCT_1,2017/4/25,Tue,817
ACCT_1,2017/4/26,Wed,780
ACCT_1,2017/4/27,Thu,739
ACCT_1,2017/4/28,Fri,679
ACCT_1,2017/4/29,Sat,462
ACCT_1,2017/4/30,Sun,512
ACCT_1,2017/5/1,Mon,629
ACCT_1,2017/5/2,Tue,779
ACCT_1,2017/5/3,Wed,834
ACCT_1,2017/5/4,Thu,861
ACCT_1,2017/5/5,Fri,765
ACCT_1,2017/5/6,Sat,526
ACCT_1,2017/5/7,Sun,668
ACCT_1,2017/5/8,Mon,863
ACCT_1,2017/5/9,Tue,779
ACCT_1,2017/5/10,Wed,623
ACCT_1,2017/5/11,Thu,731
ACCT_1,2017/5/12,Fri,676
ACCT_1,2017/5/13,Sat,454
ACCT_1,2017/5/14,Sun,529
ACCT_1,2017/5/15,Mon,785
ACCT_1,2017/5/16,Tue,745
ACCT_1,2017/5/17,Wed,725
ACCT_1,2017/5/18,Thu,624
ACCT_1,2017/5/19,Fri,641
ACCT_1,2017/5/20,Sat,406
ACCT_1,2017/5/21,Sun,557
ACCT_1,2017/5/22,Mon,699
ACCT_1,2017/5/23,Tue,692
ACCT_1,2017/5/24,Wed,675
ACCT_1,2017/5/25,Thu,696
ACCT_1,2017/5/26,Fri,593
ACCT_1,2017/5/27,Sat,434
ACCT_1,2017/5/28,Sun,557
ACCT_1,2017/5/29,Mon,738
ACCT_1,2017/5/30,Tue,726
ACCT_1,2017/5/31,Wed,724
ACCT_1,2017/6/1,Thu,761
ACCT_1,2017/6/2,Fri,636
ACCT_1,2017/6/3,Sat,463
ACCT_1,2017/6/4,Sun,564
ACCT_1,2017/6/5,Mon,757
ACCT_1,2017/6/6,Tue,752
ACCT_1,2017/6/7,Wed,768
ACCT_1,2017/6/8,Thu,720
ACCT_1,2017/6/9,Fri,700
ACCT_1,2017/6/10,Sat,500
ACCT_1,2017/6/11,Sun,564
ACCT_1,2017/6/12,Mon,755
